自用频道,#genre#
江苏卫视,http://183.134.3.22:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://61.182.33.218:8000/hls/18/index.m3u8
江苏卫视,http://58.19.38.233:8888/newlive/live/hls/22/live.m3u8
江苏卫视,http://jltpc.x3322.net:9901/tsfile/live/0127_1.m3u8?key=txiptv

浙江卫视,http://222.189.51.62:8888/newlive/live/hls/24/live.m3u8
浙江卫视,http://183.134.3.22:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://117.190.144.101:9901/tsfile/live/1038_1.m3u8
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
浙江卫视,http://hrare.gnway.cc/tv/ysp.php?id=zjws

湖南卫视,http://1.30.178.123:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://101.23.216.126:8090/hls/56/index.m3u8
湖南卫视,http://222.189.51.62:8888/newlive/live/hls/23/live.m3u8
湖南卫视,http://110.72.83.181:808/hls/25/index.m3u8
湖南卫视,http://yuju666888.x3322.net:808/hls/19/index.m3u8
湖南卫视,http://111.8.242.84:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8

